county,name,city
BJELOVARSKO-BILOGORSKA,Osnovna škola Čazma,Čazma
GRAD ZAGREB,Osnovna škola centar,Zagreb
ISTARSKA,Osnovna škola Centar,Pula
PRIMORSKO-GORANSKA,Osnovna škola centar,Rijeka
VARAŽDINSKA,Osnovna škola Cestica,Cestica
KARLOVAČKA,Osnovna škola Cetingrad,Cetingrad
ŠIBENSKO-KNINSKA,Osnovna škola Čista Velika,Čista Velika
GRAD ZAGREB,Osnovna škola Čučerje,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Cvjetno,Briješće
GRAD ZAGREB,Osnovna škola Cvjetno Naselje,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Đakovački Selci,Selci Đakovački
OSJEČKO-BARANJSKA,Osnovna škola Dalj,Dalj
OSJEČKO-BARANJSKA,Osnovna škola Darda,Darda
VUKOVARSKO-SRIJEMSKA,Osnovna škola Davorin Trstenjak,Posavski Podgajci
VIROVITIČKO-PODRAVSKA,Osnovna škola Davorin Trstenjak Čađavica,Čađavica
GRAD ZAGREB,Osnovna škola Davorina Trstenjaka,Zagreb
SISAČKO-MOSLAVAČKA,Osnovna škola Davorina Trstenjaka,Hrvatska Kostajnica
BJELOVARSKO-BILOGORSKA,Osnovna škola Dežanovac,Dežanovac
SPLITSKO-DALMATINSKA,Osnovna škola Dinka Šimunovića,Hrvace
ISTARSKA,Osnovna škola Divšići,Divšići
SPLITSKO-DALMATINSKA,Osnovna škola Dobri,Split
OSJEČKO-BARANJSKA,Osnovna škola Dobriša Cesarić,Osijek
GRAD ZAGREB,Osnovna škola Dobriše Cesarića,Zagreb
MEĐIMURSKA,Osnovna škola Domašinec,Domašinec
GRAD ZAGREB,Osnovna škola Dominik Savio,Zagreb
ŠIBENSKO-KNINSKA,Osnovna škola Domovinske Zahvalnosti,Knin
SPLITSKO-DALMATINSKA,Osnovna škola don Lovre Katića,Solin
DUBROVAČKO-NERETVANSKA,Osnovna škola Don Mihovila Pavlinovića,Metković
SPLITSKO-DALMATINSKA,"Osnovna škola don Mihovila Pavlinovića, Podgora",Podgora
MEĐIMURSKA,Osnovna škola Donja Dubrava,Donja Dubrava
KRAPINSKO-ZAGORSKA,Osnovna škola Donja Stubica,Donja Stubica
MEĐIMURSKA,Osnovna škola Donji Kraljevec,Donji Kraljevec
LIČKO-SENJSKA,Osnovna škola Donji Lapac,Donji Lapac
OSJEČKO-BARANJSKA,Osnovna škola Dore Pejačević Našice,Našice
ISTARSKA,Osnovna škola dr Mate Demarina,Medulin
PRIMORSKO-GORANSKA,Osnovna škola Dr. Andrija Mohorovičić,Matulji
LIČKO-SENJSKA,Osnovna škola dr. Ante Starčević Pazarište-Klanac,Klanac
GRAD ZAGREB,Osnovna škola dr. Ante Starčevića,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Dr. Branimira Markovića,Ravna Gora
SPLITSKO-DALMATINSKA,Osnovna škola dr. fra Karlo Balić,Šestanovac
LIČKO-SENJSKA,Osnovna škola dr. Franje Tuđmana,Korenica
ŠIBENSKO-KNINSKA,Osnovna škola dr. Franje Tuđmana,Knin
SPLITSKO-DALMATINSKA,Osnovna škola dr. Franje Tuđmana Brela,Brela
LIČKO-SENJSKA,Osnovna škola Dr. Franje Tuđmana Lički Osik,Lički Osik
VUKOVARSKO-SRIJEMSKA,Osnovna škola dr. Franjo Tuđman,Šarengrad
GRAD ZAGREB,Osnovna škola dr. Ivan Merz,Zagreb
MEĐIMURSKA,Osnovna škola Dr. Ivana Novaka Macinec,Macinec
PRIMORSKO-GORANSKA,Osnovna škola dr. Josipa Pančića Bribir,Bribir
LIČKO-SENJSKA,Osnovna škola dr. Jure Turića,Gospić
BRODSKO-POSAVSKA,Osnovna škola dr. Stjepan Ilijašević,Oriovac
GRAD ZAGREB,Osnovna škola Dr. Vinka Žganca,Zagreb
MEĐIMURSKA,Osnovna škola Dr. Vinka Žganca Vratišinec,Vratišinec
BRODSKO-POSAVSKA,Osnovna škola Dragalić,Dragalić
KARLOVAČKA,Osnovna škola Draganići,Draganić
PRIMORSKO-GORANSKA,Osnovna škola Drago Gervais,Jurdani
KARLOVAČKA,Osnovna škola Dragojle Jarnević,Karlovac
BRODSKO-POSAVSKA,Osnovna škola Dragutin Tadijanović,Slavonski Brod
GRAD ZAGREB,Osnovna škola Dragutina Domjanića,Zagreb
ZAGREBAČKA,Osnovna škola Dragutina Domjanića,Sveti Ivan Zelina
GRAD ZAGREB,Osnovna škola Dragutina Kušlana,Zagreb
POŽEŠKO-SLAVONSKA,Osnovna škola Dragutina Lermana,Brestovac
GRAD ZAGREB,Osnovna škola Dragutina Tadijanovića,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Dragutina Tadijanovića,Vukovar
SISAČKO-MOSLAVAČKA,Osnovna škola Dragutina Tadijanovića Petrinja,Petrinja
MEĐIMURSKA,Osnovna škola Draškovec,Prelog
OSJEČKO-BARANJSKA,Osnovna škola Draž,Draž
OSJEČKO-BARANJSKA,Osnovna škola Drenje,Drenje
KARLOVAČKA,Osnovna škola Dubovac,Karlovac
ZAGREBAČKA,Osnovna škola Dubrava,Dubrava
SPLITSKO-DALMATINSKA,Osnovna škola Dugopolje,Dugopolje
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Đurđevac,Đurđevac
ZAGREBAČKA,Osnovna škola Đure Deželića Ivanić Grad,Ivanić-Grad
KRAPINSKO-ZAGORSKA,Osnovna škola Đure Prejca Desinić,Desinić
KRAPINSKO-ZAGORSKA,Osnovna škola Đurmanec,Đurmanec
BRODSKO-POSAVSKA,Osnovna škola Đuro Pilar,Slavonski Brod
SISAČKO-MOSLAVAČKA,Osnovna škola Dvor,Dvor
OSJEČKO-BARANJSKA,Osnovna škola Ernestinovo,Ernestinovo
PRIMORSKO-GORANSKA,Osnovna škola Eugen Kumičić,Rijeka
VIROVITIČKO-PODRAVSKA,Osnovna škola Eugena Kumičića,Slatina
ZAGREBAČKA,Osnovna škola Eugena Kumičića,Velika Gorica
KARLOVAČKA,Osnovna škola Eugena Kvaternika,Rakovica
ZAGREBAČKA,Osnovna škola Eugena Kvaternika,Velika Gorica
ŠIBENSKO-KNINSKA,Osnovna škola Fausta Vrančića,Šibenik
ISTARSKA,Osnovna škola Fažana,Fažana
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Ferdinandovac,Ferdinandovac
ISTARSKA,Osnovna škola Finida,Poreč
DUBROVAČKO-NERETVANSKA,Osnovna škola fra Ante Gnječa,Staševica
VUKOVARSKO-SRIJEMSKA,Osnovna škola fra Bernardina Tome Leakovića,Bošnjaci
POŽEŠKO-SLAVONSKA,Osnovna škola fra Kaje Adžića Pleternica,Pleternica
SPLITSKO-DALMATINSKA,Osnovna škola Fra Pavla Vučkovića,Sinj
PRIMORSKO-GORANSKA,Osnovna škola Fran Franković,Rijeka
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Fran Koncelak Drnje,Drnje
PRIMORSKO-GORANSKA,Osnovna škola Fran Krsto Frankopan Krk,Krk
GRAD ZAGREB,Osnovna škola Frana Galovića,Zagreb
GRAD ZAGREB,Osnovna škola Frana Krste Frankopana,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Frana Krste Frankopana,Osijek
PRIMORSKO-GORANSKA,Osnovna škola Frana Krste Frankopana,Brod na Kupi
PRIMORSKO-GORANSKA,Osnovna škola Frane Petrića,Cres
KRAPINSKO-ZAGORSKA,Osnovna škola Franje Horvata Kiša,Lobor
OSJEČKO-BARANJSKA,Osnovna škola Franje Krežme,Osijek
VARAŽDINSKA,Osnovna škola Franje Serta Bednja,Bednja
VUKOVARSKO-SRIJEMSKA,Osnovna škola Franjo Hanaman,Drenovci
ZADARSKA,Osnovna škola Franka Lisice Polača,Polača
SISAČKO-MOSLAVAČKA,Osnovna škola Galdovo,Sisak
ZADARSKA,Osnovna škola Galovac,Galovac
BJELOVARSKO-BILOGORSKA,Osnovna škola Garešnica,Garešnica
KARLOVAČKA,Osnovna škola Generalski Stol,Generalski Stol
SISAČKO-MOSLAVAČKA,Osnovna škola Glina,Glina
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Gola,Gola
MEĐIMURSKA,Osnovna škola Goričan,Goričan
OSJEČKO-BARANJSKA,Osnovna škola Gorjani,Gorjani
SPLITSKO-DALMATINSKA,Osnovna škola Gornja Poljica,Srijane
PRIMORSKO-GORANSKA,Osnovna škola Gornja Vežica,Rijeka
KRAPINSKO-ZAGORSKA,Osnovna škola Gornje Jesenje,Gornje Jesenje
GRAD ZAGREB,Osnovna škola Gornje Vrapče,Zagreb
MEĐIMURSKA,Osnovna škola Gornji Mihaljevec,Gornji Mihaljevec
KARLOVAČKA,Osnovna škola Grabrik,Karlovac
GRAD ZAGREB,Osnovna škola Gračani,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Gradac,Gradac
ZAGREBAČKA,Osnovna škola Gradec,Gradec
VIROVITIČKO-PODRAVSKA,Osnovna škola Gradina,Gradina
VUKOVARSKO-SRIJEMSKA,Osnovna škola Gradište,Gradište
GRAD ZAGREB,Osnovna škola Granešina,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Grigor Vitez,Osijek
GRAD ZAGREB,Osnovna škola Grigora Viteza,Zagreb
POŽEŠKO-SLAVONSKA,Osnovna škola Grigora Viteza Poljana,Poljana
GRAD ZAGREB,Osnovna škola grofa Janka Draškovića,Zagreb
VARAŽDINSKA,Osnovna škola grofa Janka Draškovića,Klenovnik
SPLITSKO-DALMATINSKA,Osnovna škola Grohote,Grohote
DUBROVAČKO-NERETVANSKA,Osnovna škola Gruda,Gruda
VARAŽDINSKA,Osnovna škola Gustav Krklec Maruševec,Maruševec
GRAD ZAGREB,Osnovna škola Gustava Krkleca,Zagreb
SISAČKO-MOSLAVAČKA,Osnovna škola Gvozd,Gvozd
OSJEČKO-BARANJSKA,Osnovna škola Hinka Juhna Podgorač,Podgorač
MEĐIMURSKA,Osnovna škola Hodošan,Hodošan
GRAD ZAGREB,Osnovna škola Horvati,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Hreljin,Hreljin
GRAD ZAGREB,Osnovna škola Hrvatski Leskovac,Hrvatski Leskovac
OSJEČKO-BARANJSKA,Osnovna škola Hrvatski sokol,Podgajci Podravski
BRODSKO-POSAVSKA,Osnovna škola Hugo Badalić,Slavonski Brod
GRAD ZAGREB,Osnovna škola Hugo Kon,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Hvar,Hvar
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ilača-Banovci,Ilača
ZAGREBAČKA,Osnovna škola Ivan Benković,Dugo Selo
SPLITSKO-DALMATINSKA,Osnovna škola Ivan Duknović,Marina
BRODSKO-POSAVSKA,Osnovna škola Ivan Filipović,Velika Kopanica
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivan Filipović,Račinovci
BRODSKO-POSAVSKA,Osnovna škola Ivan Goran Kovačić,Slavonski Brod
OSJEČKO-BARANJSKA,Osnovna škola Ivan Goran Kovačić,Đakovo
POŽEŠKO-SLAVONSKA,Osnovna škola Ivan Goran Kovačić,Velika
SISAČKO-MOSLAVAČKA,Osnovna škola Ivan Goran Kovačić,Gora
VIROVITIČKO-PODRAVSKA,Osnovna škola Ivan Goran Kovačić,Zdenci
ISTARSKA,Osnovna škola Ivan Goran Kovačić Čepić,Purgarija Čepić
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivan Kozarac,Nijemci
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Ivan Lacković Croata Kalinovac,Kalinovac
SPLITSKO-DALMATINSKA,Osnovna škola Ivan Leko,Donji Proložac
BRODSKO-POSAVSKA,Osnovna škola Ivan Meštrović,Vrpolje
SISAČKO-MOSLAVAČKA,Osnovna škola Ivana Antolčića Komarevo,Sisak-Caprag
ISTARSKA,Osnovna škola Ivana Batelića - Raša,Raša
OSJEČKO-BARANJSKA,Osnovna škola Ivana Brlić Mažuranić,Strizivojna
BRODSKO-POSAVSKA,Osnovna škola Ivana Brlić-Mažuranić,Slavonski Brod
OSJEČKO-BARANJSKA,Osnovna škola Ivana Brnjika Slovaka,Jelisavac
GRAD ZAGREB,Osnovna škola Ivana Cankara,Zagreb
GRAD ZAGREB,Osnovna škola Ivana Filipovića,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Ivana Filipovića,Osijek
BRODSKO-POSAVSKA,Osnovna škola Ivana Gorana Kovačića,Staro Petrovo Selo
GRAD ZAGREB,Osnovna škola Ivana Gorana Kovačića,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Ivana Gorana Kovačića,Delnice
SPLITSKO-DALMATINSKA,Osnovna škola Ivana Gorana Kovačića,Cista Velika
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivana Gorana Kovačića,Vinkovci
VIROVITIČKO-PODRAVSKA,Osnovna škola Ivana Gorana Kovačića Gornje Bazje,Lukač
MEĐIMURSKA,Osnovna škola Ivana Gorana Kovačića Sveti Juraj na Bregu,Pleškovec
PRIMORSKO-GORANSKA,Osnovna škola Ivana Gorana Kovačića Vrbovsko,Vrbovsko
GRAD ZAGREB,Osnovna škola Ivana Granđe,Soblinec
DUBROVAČKO-NERETVANSKA,Osnovna škola Ivana Gundulića,Dubrovnik
GRAD ZAGREB,Osnovna škola Ivana Gundulića,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivana Kozarca Županja,Županja
OSJEČKO-BARANJSKA,Osnovna škola Ivana Kukuljevića,Belišće
VARAŽDINSKA,Osnovna škola Ivana Kukuljevića Sakcinskog,Ivanec
SISAČKO-MOSLAVAČKA,Osnovna škola Ivana Kukuljevića Sisak,Sisak
SPLITSKO-DALMATINSKA,Osnovna škola Ivana Lovrića,Sinj
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivana Martinovića,Štitar
GRAD ZAGREB,Osnovna škola Ivana Mažuranića,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Ivana Mažuranića,Novi Vinodolski
SPLITSKO-DALMATINSKA,Osnovna škola Ivana Mažuranića,Obrovac Sinjski
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivana Mažuranića,Vinkovci
GRAD ZAGREB,Osnovna škola Ivana Meštrovića,Zagreb
BJELOVARSKO-BILOGORSKA,Osnovna škola Ivana Nepomuka Jemeršića,Grubišno Polje
ZAGREBAČKA,Osnovna škola Ivana Perkovca,Šenkovec
PRIMORSKO-GORANSKA,Osnovna škola Ivana Rabljanina Rab,Rab
VARAŽDINSKA,"Osnovna škola Ivana Rangera, Kamenica",Kamenica
OSJEČKO-BARANJSKA,Osnovna škola Ivana Tišova,Viškovci
BJELOVARSKO-BILOGORSKA,Osnovna škola Ivana Viteza Trnskog,Nova Rača
PRIMORSKO-GORANSKA,Osnovna škola Ivana Zajca,Rijeka
KARLOVAČKA,Osnovna škola Ivane Brlić - Mažuranić Ogulin,Ogulin
OSJEČKO-BARANJSKA,Osnovna škola Ivane Brlić Mažuranić,Koška
ZAGREBAČKA,Osnovna škola Ivane Brlić-Mažuranić,Prigorje Brdovečko
VIROVITIČKO-PODRAVSKA,Osnovna škola Ivane Brlić-Mažuranić Orahovica,Orahovica
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ivane Brlić-Mažuranić Rokovci - Andrijaševci,Andrijaševci
VIROVITIČKO-PODRAVSKA,Osnovna škola Ivane Brlić-Mažuranić Virovitica,Virovitica
GRAD ZAGREB,Osnovna škola Ivanja Reka,Ivanja Reka
PRIMORSKO-GORANSKA,Osnovna škola Ivanke Trohar,Fužine
MEĐIMURSKA,Osnovna škola Ivanovec,Ivanovec
BJELOVARSKO-BILOGORSKA,Osnovna škola Ivanska,Ivanska
GRAD ZAGREB,Osnovna škola Ive Andrića,Zagreb
GRAD ZAGREB,Osnovna škola Iver,Sesvetski Kraljevec
DUBROVAČKO-NERETVANSKA,Osnovna škola Ivo Dugandžić-Mišić,Komin
SISAČKO-MOSLAVAČKA,Osnovna škola Ivo Kozarčanin,Hrvatska Dubica
ISTARSKA,Osnovna škola Ivo Lola Ribar Labin,Labin
GRAD ZAGREB,Osnovna škola Izidora Kršnjavoga,Zagreb
VARAŽDINSKA,"Osnovna škola Izidora Poljaka, Višnjica",Donja Višnjica
SISAČKO-MOSLAVAČKA,Osnovna škola Jabukovac,Petrinja
GRAD ZAGREB,Osnovna škola Jabukovac - Zagreb,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Jagode Truhelke,Osijek
OSJEČKO-BARANJSKA,Osnovna škola Jagodnjak,Jagodnjak
ŠIBENSKO-KNINSKA,Osnovna škola Jakova Gotovca,Unešić
ZAGREBAČKA,Osnovna škola Jakovlje,Jakovlje
DUBROVAČKO-NERETVANSKA,Osnovna škola Janjina,Janjina
KRAPINSKO-ZAGORSKA,Osnovna škola Janka Leskovara,Pregrada
SISAČKO-MOSLAVAČKA,Osnovna škola Jasenovac,Jasenovac
PRIMORSKO-GORANSKA,Osnovna škola Jelenje - Dražice,Dražice
GRAD ZAGREB,Osnovna škola Jelkovec,Sesvete
SPLITSKO-DALMATINSKA,Osnovna škola Jelsa,Jelsa
SPLITSKO-DALMATINSKA,Osnovna škola Jesenice,Dugi Rat
ISTARSKA,Osnovna škola Joakima Rakovca,Sveti Lovreč Pazenatički
GRAD ZAGREB,Osnovna škola Jordanovac,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Josip Kozarac,Josipovac Punitovački
BRODSKO-POSAVSKA,Osnovna škola Josip Kozarac Slavonski Šamac,Kruševica
VUKOVARSKO-SRIJEMSKA,Osnovna škola Josip Kozarac Soljani,Soljani
SPLITSKO-DALMATINSKA,Osnovna škola Josip Pupačić,Omiš
OSJEČKO-BARANJSKA,Osnovna škola Josipa Antuna Ćolnića,Đakovo
ZAGREBAČKA,Osnovna škola Josipa Badalića Graberje Ivanićko,Graberje Ivanićko
KRAPINSKO-ZAGORSKA,Osnovna škola Josipa Broza,Kumrovec
SPLITSKO-DALMATINSKA,Osnovna škola Josipa Jovića,Aržano
GRAD ZAGREB,Osnovna škola Josipa Jurja Strossmayera,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Josipa Jurja Strossmayera,Đurđenovac
OSJEČKO-BARANJSKA,Osnovna škola Josipa Jurja Strossmayera,Trnava
OSJEČKO-BARANJSKA,Osnovna škola Josipa Kozarca,Semeljci
SISAČKO-MOSLAVAČKA,Osnovna škola Josipa Kozarca,Lipovljani
VIROVITIČKO-PODRAVSKA,Osnovna škola Josipa Kozarca,Slatina
VUKOVARSKO-SRIJEMSKA,"Osnovna škola Josipa Kozarca, Vinkovci",Vinkovci
VUKOVARSKO-SRIJEMSKA,Osnovna škola Josipa Lovretića,Otok
VUKOVARSKO-SRIJEMSKA,Osnovna škola Josipa Matoša,Vukovar
GRAD ZAGREB,Osnovna škola Josipa Račića,Zagreb
ZAGREBAČKA,Osnovna škola Josipa Zorića,Dugo Selo
OSJEČKO-BARANJSKA,Osnovna škola Josipovac,Josipovac
MEĐIMURSKA,Osnovna škola Jože Horvata Kotoriba,Kotoriba
ISTARSKA,Osnovna škola Jože Šurana Višnjan,Višnjan
VUKOVARSKO-SRIJEMSKA,Osnovna škola Julija Benešića,Ilok
POŽEŠKO-SLAVONSKA,Osnovna škola Julija Kempfa,Požega
GRAD ZAGREB,Osnovna škola Julija Klovića,Zagreb
ISTARSKA,Osnovna škola Jure Filipovića Barban,Barban
GRAD ZAGREB,Osnovna škola Jure Kaštelana,Zagreb
ZADARSKA,Osnovna škola Jurja Barakovića Ražanac,Ražanac
ZADARSKA,Osnovna škola Jurja Dalmatinca Pag,Pag
ŠIBENSKO-KNINSKA,Osnovna škola Jurja Dalmatinca Šibenik,Šibenik
ISTARSKA,Osnovna škola Jurja Dobrile Rovinj,Rovinj
ZAGREBAČKA,Osnovna škola Jurja Habdelića,Velika Gorica
PRIMORSKO-GORANSKA,Osnovna škola Jurja Klovića Tribalj,Tribalj
ŠIBENSKO-KNINSKA,Osnovna škola Jurja Šižgorića,Šibenik
ISTARSKA,Osnovna škola Juršići,Juršići
GRAD ZAGREB,Osnovna škola Kajzerica,Zagreb
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Kalnik,Kalnik
SPLITSKO-DALMATINSKA,Osnovna škola Kamen-Šine,Split
SPLITSKO-DALMATINSKA,Osnovna škola Kamešnica,Otok
ZAGREBAČKA,Osnovna škola Kardinal Alojzije Stepinac,Krašić
ISTARSKA,Osnovna škola Kaštanjer Pula,Pula
SISAČKO-MOSLAVAČKA,Osnovna škola Katarina Zrinska Mečenčani,Mečenčani
KARLOVAČKA,Osnovna škola Katarine Zrinski,Krnjak
ŠIBENSKO-KNINSKA,Osnovna škola Kistanje,Kistanje
PRIMORSKO-GORANSKA,Osnovna škola Klana,Klana
ZAGREBAČKA,Osnovna škola Klinča Sela,Klinča Sela
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Kloštar Podravski,Kloštar Podravski
SPLITSKO-DALMATINSKA,Osnovna škola Kman-Kocunar,Split
VARAŽDINSKA,Osnovna škola Kneginec Gornji,Gornji Kneginec
SPLITSKO-DALMATINSKA,Osnovna škola kneza Branimira,Donji Muć
SPLITSKO-DALMATINSKA,Osnovna škola kneza Mislava,Kaštel Sućurac
SPLITSKO-DALMATINSKA,Osnovna škola kneza Trpimira,Kaštel Gomilica
OSJEČKO-BARANJSKA,Osnovna škola Kneževi Vinogradi,Kneževi Vinogradi
SPLITSKO-DALMATINSKA,Osnovna škola Komiža,Komiža
KRAPINSKO-ZAGORSKA,Osnovna škola Konjščina,Konjščina
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Koprivnički Bregi,Koprivnički Bregi
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Koprivnički Ivanec,Kunovec
VUKOVARSKO-SRIJEMSKA,"Osnovna škola Korog, Korog",Korog
PRIMORSKO-GORANSKA,Osnovna škola Kostrena,Kostrena
PRIMORSKO-GORANSKA,Osnovna škola Kozala,Rijeka
GRAD ZAGREB,Osnovna škola kralja Tomislava,Zagreb
LIČKO-SENJSKA,Osnovna škola kralja Tomislava,Udbina
OSJEČKO-BARANJSKA,Osnovna škola kralja Tomislava,Našice
SPLITSKO-DALMATINSKA,Osnovna škola Kralja Zvonimira,Seget Donji
SPLITSKO-DALMATINSKA,Osnovna škola kralja Zvonimira,Solin
PRIMORSKO-GORANSKA,Osnovna škola Kraljevica,Kraljevica
SPLITSKO-DALMATINSKA,Osnovna škola Kraljice Jelene,Solin
KRAPINSKO-ZAGORSKA,Osnovna škola Krapinske Toplice,Krapinske Toplice
GRAD ZAGREB,Osnovna škola Kreativan razvoj s pravom javnosti,Zagreb
ZADARSKA,Osnovna škola Krune Krstića - Zadar,Zadar
ZAGREBAČKA,Osnovna škola Krunoslava Kutena,Vrbovec
ZAGREBAČKA,Osnovna škola Ksavera Šandora Đalskog,Donja Zelina
GRAD ZAGREB,Osnovna škola Ksavera Šandora Gjalskog,Zagreb
KRAPINSKO-ZAGORSKA,Osnovna škola Ksavera Šandora Gjalskog,Zabok
DUBROVAČKO-NERETVANSKA,Osnovna škola Kula Norinska,Kula Norinska
DUBROVAČKO-NERETVANSKA,Osnovna škola Kuna,Kuna Pelješka
MEĐIMURSKA,Osnovna škola Kuršanec,Kuršanec
GRAD ZAGREB,Osnovna škola Kustošija,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Ladimirevci,Ladimirevci
DUBROVAČKO-NERETVANSKA,Osnovna škola Lapad,Dubrovnik
OSJEČKO-BARANJSKA,Osnovna škola Laslovo,Laslovo
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Legrad,Legrad
KRAPINSKO-ZAGORSKA,Osnovna škola Lijepa Naša,Tuhelj
POŽEŠKO-SLAVONSKA,Osnovna škola Lipik,Lipik
VUKOVARSKO-SRIJEMSKA,Osnovna škola Lipovac,Lipovac
VARAŽDINSKA,Osnovna škola Ljubešćica,Ljubešćica
GRAD ZAGREB,Osnovna škola Ljubljanica,Zagreb
ZAGREBAČKA,Osnovna škola Ljubo Babić,Jastrebarsko
BRODSKO-POSAVSKA,Osnovna škola Ljudevit Gaj,Lužani
KRAPINSKO-ZAGORSKA,Osnovna škola Ljudevit Gaj Mihovljan,Mihovljan
KRAPINSKO-ZAGORSKA,Osnovna škola Ljudevit Gaj u Krapini,Krapina
OSJEČKO-BARANJSKA,Osnovna škola Ljudevita Gaja,Osijek
ZAGREBAČKA,Osnovna škola Ljudevita Gaja,Zaprešić
BRODSKO-POSAVSKA,Osnovna škola Ljudevita Gaja Nova Gradiška,Nova Gradiška
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Ljudevita Modeca Križevci,Križevci
VUKOVARSKO-SRIJEMSKA,Osnovna škola Lovas,Lovas
GRAD ZAGREB,Osnovna škola Lovre pl. Matačića,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Lučac,Split
GRAD ZAGREB,Osnovna škola Lučko,Lučko
VARAŽDINSKA,Osnovna škola Ludbreg,Ludbreg
SISAČKO-MOSLAVAČKA,Osnovna škola Ludina,Velika Ludina
OSJEČKO-BARANJSKA,Osnovna škola Lug - Laskói Általános Iskola,Lug
GRAD ZAGREB,Osnovna škola Luka,Sesvete
ZAGREBAČKA,Osnovna škola Luka,Luka
DUBROVAČKO-NERETVANSKA,Osnovna škola Luka Paljetka,Dubrovnik
LIČKO-SENJSKA,Osnovna škola Luke Perkovića Brinje,Brinje
KRAPINSKO-ZAGORSKA,Osnovna škola Mače,Mače
KARLOVAČKA,Osnovna škola Mahično,Karlovac
SPLITSKO-DALMATINSKA,Osnovna škola Majstora Radovana,Trogir
ZAGREBAČKA,Osnovna škola Maksimilijana Vanke,Kupljenovo
GRAD ZAGREB,Osnovna škola Malešnica,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Malinska-Dubašnica,Malinska
SPLITSKO-DALMATINSKA,Osnovna škola Manuš-Split,Split
ISTARSKA,Osnovna škola Marčana,Marčana
VUKOVARSKO-SRIJEMSKA,Osnovna škola Mare Švel-Gamiršek,Vrbanja
PRIMORSKO-GORANSKA,Osnovna škola Maria Martinolića,Mali Lošinj
KRAPINSKO-ZAGORSKA,Osnovna škola Marija Bistrica,Marija Bistrica
ISTARSKA,"Osnovna škola Marije i Line - Scuola elementare ""Marija i Lina"", Umag - Umago",Umag
GRAD ZAGREB,Osnovna škola Marije Jurić Zagorke,Zagreb
ZAGREBAČKA,Osnovna škola Marije Jurić Zagorke,Vrbovec
DUBROVAČKO-NERETVANSKA,Osnovna škola Marina Držića,Dubrovnik
GRAD ZAGREB,Osnovna škola Marina Držića,Zagreb
DUBROVAČKO-NERETVANSKA,Osnovna škola Marina Getaldića,Dubrovnik
SPLITSKO-DALMATINSKA,Osnovna škola Marjan,Split
SPLITSKO-DALMATINSKA,Osnovna škola Marka Marulića,Sinj
BRODSKO-POSAVSKA,Osnovna škola Markovac,Vrbova
GRAD ZAGREB,Osnovna škola Markuševec,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Markušica,Markušica
VARAŽDINSKA,Osnovna škola Martijanec,Martijanec
BJELOVARSKO-BILOGORSKA,Osnovna škola Mate Lovraka,Veliki Grđevac
GRAD ZAGREB,Osnovna škola Mate Lovraka,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Mate Lovraka,Vladislavci
SISAČKO-MOSLAVAČKA,Osnovna škola Mate Lovraka,Kutina
VUKOVARSKO-SRIJEMSKA,Osnovna škola Mate Lovraka,Županja
SISAČKO-MOSLAVAČKA,Osnovna škola Mate Lovraka Petrinja,Petrinja
VUKOVARSKO-SRIJEMSKA,Osnovna škola Matija Antun Reljković,Cerna
